Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
El Rincón Del Artista | Piso A 1 Min De La Playa,"- Acceso compartido a la playa (primera línea)
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- Admite mascotas
- Televisión de alta definición de 43 pulgadas
- Ascensor
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,599,,,,100,,,,157,,,,27,,,X,38.6433,0.0512,https://www.airbnb.es/rooms/833779896030130697?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745506818_P3y8Qff71cpoF2e0&previous_page_section_name=1000
Apartamento Acogedor Para Familias,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina descubierta:
- Televisión de alta definición de 43 pulgadas
- Ascensor
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,1270,,,,212,,,,345,,,,58,,,,38.64108,0.06135,https://www.airbnb.es/rooms/3369012?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745506818_P39L_XQnFesJn53e&previous_page_section_name=1000
Dúplex Renovador En Zona Tranquila De Calpe,"- Vistas a la montaña
- Vistas al mar
- Acceso compartido a la playa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina descubierta compartida: disponible todo el año
- disponible en un horario específico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,872,,,,146,,,,225,,,,38,,,,38.6396,0.0403,https://www.airbnb.es/rooms/833395020683984855?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745506818_P35NkAFPYiJf-N4T&previous_page_section_name=1000
*Casa Flora* Bungalow Con Piscinas En Calpe,"- Vistas al mar
- Vistas al valle
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina
- TV
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,779,,,,130,,,,200,,,,34,,,,38.6685,0.0652,https://www.airbnb.es/rooms/1089190521243940229?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745506818_P3r479slM4IgAGG9&previous_page_section_name=1000
Apartamento De 3 Dormitorios -Terraza -Centro Y Playa,"- Vistas al mar
- Acceso compartido a la playa
- Cocina
- Wifi
- Zona para trabajar
- Televisión de alta definición de 43 pulgadas
- Ascensor
- Lavadora en el alojamiento (Gratis)
- Aire acondicionado centralizado
- Bañera",10,843,,,,141,,,,207,,,,35,,,,38.6429,0.0483,https://www.airbnb.es/rooms/948437503624365718?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745506818_P3MICzpzb_1Ye62q&previous_page_section_name=1000
Apartamento Con Vistas Al Mar - Anfiteatro 18,"- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina
- Aire acondicionado
- Frigorífico
- Microondas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",11,587,,,,98,,,,179,,,,30,,,,38.63932,0.04306,https://www.airbnb.es/rooms/867293428028300260?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745506818_P3vVstvGryb0Ypl7&previous_page_section_name=1000
Precioso Apartamento En Primera Línea De Playa,"- Vistas al mar
- Vistas al mar
- Acceso compartido a la playa (primera línea)
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina compartida
- TV
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,1229,,,,205,,,,250,,,,42,,,,38.64095,0.07154,https://www.airbnb.es/rooms/677393915028327469?adults=6&check_in=2025-07-16&check_out=2025-07-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745506818_P3Obfe13Ts8LJoew&previous_page_section_name=1000
"3 Dormitorios, Piscina, A 20 Minutos De La Playa","- Vistas al perfil urbano
- Costa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina descubierta compartida: disponible todo el año
- disponible en un horario específico
- cubierta de piscina
- piscina para nadar
- Televisión con Chromecast
- Netflix
- Lavadora en el alojamiento (Gratis)
- Aire acondicionado portátil",14,1159,,,,194,,,,150,,,,25,,,,38.6555,0.0666,https://www.airbnb.es/rooms/681084596371841213?adults=6&check_in=2025-07-15&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745506818_P3e-uMafQAKumgOZ&previous_page_section_name=1000
Costablancadreams - Casa Colari 1 En Calpe,"- Vistas al jardín
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina
- Admite mascotas
- TV
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,942,,,,157,,,,197,,,,33,,,,38.65319,0.07053,https://www.airbnb.es/rooms/584524733987900838?adults=6&check_in=2025-07-18&check_out=2025-07-22&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745506818_P3jGu-WFc8JdWw2D&previous_page_section_name=1000
"Cerca Centro Y Playa, Pareado Con Piscina Privada","- Vistas a la bahía
- Vistas al perfil urbano
- Acceso compartido a la playa (primera línea)
- Cocina
- Wifi (25 Mbps)
- Zona para trabajar
- Aparcamiento gratuito en la entrada dentro de la propiedad: 1 plaza
- Piscina descubierta privada: disponible todo el año
- disponible las 24 horas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,1670,,,,279,,,,290,,,,49,,,,38.64707,0.04095,https://www.airbnb.es/rooms/34660318?adults=6&check_in=2025-07-15&check_out=2025-07-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745506818_P3Htk2VpJxiRI0-N&previous_page_section_name=1000
