Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
Confort En El Centro De Granada Ubicación Ideal,"- Cocina
- Wifi
- Zona para trabajar
- Televisión de alta definición de 40 pulgadas
- Ascensor
- Lavadora
- Aire acondicionado
- Libros y juguetes para niños
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,270,,,,45,,,,82,,,,14,,,,37.167,-3.6011,https://www.airbnb.es/rooms/1281208907451687629?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P3m1b8ywnn4CZCV6&previous_page_section_name=1000
Piso En Palacio Quinta Alegre Cerca Centro Ciudad,"- Cocina
- Wifi
- Zona para trabajar
- TV
- Ascensor
- Lavadora
- Aire acondicionado
- Secador de pelo
- Microondas
- Disponible para estancias largas",10,255,,,,43,,,,77,,,,13,,,,37.1636,-3.5883,https://www.airbnb.es/rooms/833328164269522083?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P3vl9lTPuxJ2qSch&previous_page_section_name=1000
Ático Einstein Suites En Pleno Centro De Granada,"- Vistas al parque
- Vistas al perfil urbano
- Cocina
- Zona para trabajar
- TV
- Ascensor
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,320,,,,54,,,,93,,,,16,,,,37.1773,-3.6095,https://www.airbnb.es/rooms/1264997057750920735?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P33poWALJOPbaK1r&previous_page_section_name=1000
Moderno Dúplex. Excelente Ubicación. Piedra Santa.,"- Cocina
- Wifi
- Zona para trabajar
- TV
- Lavadora
- Aire acondicionado
- Cuna: disponible previa solicitud
- Trona
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,515,,,,86,,,,143,,,X,24,,,,37.17256,-3.59827,https://www.airbnb.es/rooms/26344034?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P3anyz3sFN9US6SV&previous_page_section_name=1000
Skyline De Granada,"- Cocina
- Wifi
- Zona para trabajar
- TV
- Ascensor
- Lavadora
- Aire acondicionado centralizado
- Sistema de aire acondicionado sin conductos tipo split
- Bañera
- Patio o balcón",10,558,,,,93,,,,186,,,,31,,,X,37.1748,-3.5991,https://www.airbnb.es/rooms/1280272639884727485?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P3o7yDiqzLtGULXa&previous_page_section_name=1000
Bns Central Suites. 3 Habitaciones. Pleno Centro,"- Cocina
- Wifi
- Televisión de alta definición de 50 pulgadas
- Ascensor
- Lavadora
- Secadora en el alojamiento (Gratis)
- Aire acondicionado
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,482,,,,81,,,,161,,,,27,,,,37.1706,-3.5964,https://www.airbnb.es/rooms/735939961722393498?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P3kGvz8MbXwP7ezw&previous_page_section_name=1000
Tu Experiencia En Granada,"- Cocina
- Wifi
- Zona para trabajar
- TV
- Aire acondicionado
- Secador de pelo
- Frigorífico
- Microondas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,362,,,,61,,,,103,,,,18,,,,37.1693,-3.6013,https://www.airbnb.es/rooms/1249363328022345845?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P3qkGHjhOhCFj76h&previous_page_section_name=1000
Vacaciones En Granada,"- Cocina
- Wifi
- Zona para trabajar
- Televisión con televisión por cable estándar
- Ascensor
- Lavadora en el alojamiento (Gratis)
- Cuna
- Secador de pelo
- Apto para fumadores
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,193,,X,X,33,,X,,55,,X,,10,,X,,37.16607,-3.60168,https://www.airbnb.es/rooms/3565379?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P3_dgf7jUuFLztlM&previous_page_section_name=1000
Maravilloso Piso En El Centro_Wifi_Parking_8People,"- Vistas al perfil urbano
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en garaje en la propiedad: 1 plaza
- TV
- Ascensor
- Lavadora en el alojamiento (Gratis)
- Aire acondicionado centralizado
- No disponible: Detector de humo
Detector de humo",11,480,,,,80,,,,160,,,,27,,,,37.17564,-3.60273,https://www.airbnb.es/rooms/18816702?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P31kqL20XOsIueC1&previous_page_section_name=1000
Exclusivo Apartamento En Granada. Alhondiga Ii,"- Cocina
- Wifi
- Zona para trabajar
- TV
- Ascensor
- Lavadora
- Aire acondicionado
- Cuna: disponible previa solicitud
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,531,,,,89,,,,148,,,,25,,,,37.1750809,-3.60124,https://www.airbnb.es/rooms/1303460871517652908?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P3-zfGllzGACZjgw&previous_page_section_name=1000
"Vistas A La Alhambra, Estancia Magica.","- Cocina
- Wifi
- Zona para trabajar
- TV
- Lavadora
- Aire acondicionado
- Secador de pelo
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,490,,,,82,,,,143,,,X,24,,,,37.18058,-3.58788,https://www.airbnb.es/rooms/714246997256594806?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P3N8HQtajBX4EZsC&previous_page_section_name=1000
Viajando Por Granada,"- Cocina
- Wifi
- Zona para trabajar
- Admite mascotas
- TV
- Lavadora en el alojamiento (Gratis)
- Frigorífico
- Aparcamiento de pago en las instalaciones
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,211,,,,36,,,,60,,,,10,,X,,37.16837,-3.60388,https://www.airbnb.es/rooms/783141995083502464?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P3VCnLFX62SQRDh1&previous_page_section_name=1000
H&H Casa En El Centro De Granada,"- Vistas al patio
- Vistas al perfil urbano
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- TV
- Lavadora en el alojamiento (Gratis)
- Sistema de aire acondicionado sin conductos tipo split
- Patio privado o balcón",10,358,,,,60,,,,106,,,,18,,,,37.164,-3.5944,https://www.airbnb.es/rooms/1110081189503562360?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P35XriKuKbhYyzew&previous_page_section_name=1000
Apartamento Tuguest Recogidas,"- Vistas al perfil urbano
- Cocina
- Wifi
- TV
- Ascensor
- Lavadora en el alojamiento (Gratis)
- Aire acondicionado
- Patio privado o balcón
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,451,,,,76,,,,130,,,,22,,,,37.1718,-3.6035,https://www.airbnb.es/rooms/1314282813027558100?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P3Ymq0JHItXc4ymd&previous_page_section_name=1000
Vive El Centro De Granada,"- Cocina
- Wifi
- Zona para trabajar
- Admite mascotas
- TV
- Lavadora
- Cuna: disponible previa solicitud
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,224,,,,38,,,,96,,,,16,,,,37.1745,-3.601,https://www.airbnb.es/rooms/1302122588513863933?adults=6&check_in=2025-07-16&check_out=2025-07-18&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745507882_P3AEuaFa_st6J_cV&previous_page_section_name=1000
Luminoso Apartamento A 10 Min De Granada Piscina,"- Vistas a la montaña
- Vistas al parque
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina descubierta compartida: disponible según la temporada
- disponible en un horario específico
- Televisión de alta definición de 40 pulgadas con televisión por cable estándar
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,634,,,,106,,,X,101,,,,17,,,,37.10828,-3.6361,https://www.airbnb.es/rooms/53303921?adults=6&check_in=2025-07-15&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745507882_P31IlZ3pp1MV4USW&previous_page_section_name=1000
Casa Cala [Csv],"- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- TV
- Lavadora
- Aire acondicionado
- Bañera
- Patio privado o balcón
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,595,,,,100,,,,118,,,,20,,,,37.1824585,-3.5929971,https://www.airbnb.es/rooms/1261670803163735908?adults=6&check_in=2025-07-16&check_out=2025-07-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745507882_P3kWjdtjGrceqJGH&previous_page_section_name=1000
Impresionantes Vistas Alhambra - Centro - Parking,"- Vistas al perfil urbano
- Vistas al patio
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Televisión con televisión por cable estándar
- Lavadora
- Aire acondicionado
- Patio o balcón",10,430,,,,72,,,,184,,,,31,,,X,37.1792,-3.5942,https://www.airbnb.es/rooms/1385685716950202641?adults=6&check_in=2025-07-18&check_out=2025-07-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745507882_P39wBjBKafSHMCh9&previous_page_section_name=1000
Alojamientos Sierra Nevada Viva,"- Vistas al jardín
- Vistas a la montaña
- Cocina
- Wifi rápido (300 Mbps)
- Zona para trabajar
- Piscina descubierta privada: disponible según la temporada
- disponible las 24 horas
- Televisión de alta definición de 40 pulgadas con Amazon Prime Video
- televisión por cable estándar
- Cargador para vehículos eléctricos: nivel 2
- Lavadora en el alojamiento (Gratis)
- Cámaras de seguridad en los exteriores de la propiedad",12,1065,X,,,178,X,,,182,,,,31,,,X,37.093,-3.6343,https://www.airbnb.es/rooms/757703310506786380?adults=6&check_in=2025-07-15&check_out=2025-07-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745507882_P3Ir9Iy9AbWJGhDO&previous_page_section_name=1000
"Apartamento Reformado Albaicín, Granada","- Cocina
- Wifi
- Zona para trabajar
- Televisión con televisión por cable estándar
- Aire acondicionado
- Cuna
- Secador de pelo
- Microondas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,541,,,,91,,,,132,,,,22,,,,37.1798,-3.5919,https://www.airbnb.es/rooms/1376022841917958804?adults=6&check_in=2025-07-16&check_out=2025-07-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745507882_P3bjJmltKzPprn9R&previous_page_section_name=1000
Amazing / Bonito Piso En El Realejo,"- Cocina
- Wifi
- TV
- Lavadora
- Aire acondicionado
- Patio o balcón
- Parque/cunas de viaje
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,386,,,,65,,,,110,,,,19,,,,37.17456,-3.59458,https://www.airbnb.es/rooms/7510906?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P3YHzFNwNyGJCwer&previous_page_section_name=1000
San Pedro Alhambra Views 3 Dormitorios,"- Cocina
- Wifi
- TV
- Lavadora
- Aire acondicionado
- Cuna: disponible previa solicitud
- Secador de pelo
- Frigorífico
- Microondas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,784,,,,131,,,,248,X,,,42,X,,,37.1788,-3.5927,https://www.airbnb.es/rooms/1371843684623935662?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P3xgHhlWvcf1fr2c&previous_page_section_name=1000
"Alojamiento Entero: Villa De Ares,By Daimar","- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- TV
- Lavadora
- Aire acondicionado
- Bañera
- Patio o balcón
- Cámaras de seguridad en los exteriores de la propiedad",10,635,,,,106,,,X,202,,,,34,,,,37.1401,-3.6129,https://www.airbnb.es/rooms/1269018433689597286?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P3GgP3yS2FSccMEb&previous_page_section_name=1000
Dúplex Con Jacuzzi En Granada. Catedral 301,"- Cocina
- Wifi
- Zona para trabajar
- Jacuzzi
- TV
- Ascensor
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,690,,,,115,,,,198,,,,33,,,,37.17602,-3.59851,https://www.airbnb.es/rooms/989673243214257732?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745507881_P3sPnSxL8GqipT1S&previous_page_section_name=1000
