Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
Acogedor Apartamento Con Terraza En Salobreña,"- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- Televisión de alta definición de 40 pulgadas con televisión por cable estándar
- Ascensor
- Lavadora
- Secadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,421,,,,71,,,,105,,,,18,,,,36.7426,-3.58327,https://www.airbnb.es/rooms/572274609851628156?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745429454_P3N53NNK_QAPd6BW&previous_page_section_name=1000
Casa Con Mucho Encanto,"- Vistas al jardín
- Vistas a la montaña
- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- Piscina privada: disponible todo el año
- disponible las 24 horas
- Admite mascotas
- Televisión con televisión por cable estándar
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,878,,,,147,,,,250,,,,42,,,,36.7454,-3.66745,https://www.airbnb.es/rooms/9428150?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745429454_P3wFK_sK9pAm9UOZ&previous_page_section_name=1000
Gran Piso Céntrico En Motril Con Garaje,"- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- TV
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",11,720,,,,120,,,,205,,,,35,,,,36.7502607,-3.5184715,https://www.airbnb.es/rooms/1270284424801368196?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745429454_P3kt78uzAngUTZtE&previous_page_section_name=1000
"Apartamento ""Playa Granada Golf"". Motril.","- Vistas a la montaña
- Vistas al parque
- Acceso compartido a la playa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en un garaje residencial en la propiedad: 1 plaza
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,629,,,,105,,,,179,,,,30,,,,36.7221,-3.5543,https://www.airbnb.es/rooms/769589485968943452?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745429454_P3HEzq4adHrlvkDZ&previous_page_section_name=1000
Alquila Fantástico Apartamento En Playa Granada,"- Vistas a la montaña
- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina compartida
- Admite mascotas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,615,,,,103,,,,175,,,,30,,,,36.71894,-3.54977,https://www.airbnb.es/rooms/616248237483562872?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745429454_P35WoxTcNt2HMnOb&previous_page_section_name=1000
Casa De Campo La Milana Con Espectacular Piscina,"- Vistas a la montaña
- Vistas al mar
- Acceso compartido a la playa
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina descubierta privada: disponible todo el año
- disponible las 24 horas
- cubierta de piscina
- Admite mascotas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",14,1083,,,,181,,,,295,,,,50,,,,36.7432,-3.4991,https://www.airbnb.es/rooms/844888291939262131?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745429454_P34UO6MtLYdGYDqE&previous_page_section_name=1000
Homity Holidays - Apartamento De Lujo Ab-3-C6-2D,"- Vistas al campo de golf
- Vistas al lago
- Acceso compartido a la playa
- Cocina
- Wifi
- Aparcamiento techado gratuito en la propiedad: 1 plaza
- Piscina compartida
- Televisión de alta definición de 75 pulgadas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,1155,,,,193,,,,264,,,,44,,,X,36.72399,-3.55925,https://www.airbnb.es/rooms/934043209540995442?adults=6&check_in=2025-07-15&check_out=2025-07-19&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745429454_P34jg-rq1MBSsrug&previous_page_section_name=1000
Nuevo En Airbnb!Apartamento En Motril,"- Vistas al resort
- Vistas al campo de golf
- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,1551,,,,259,,,,259,,,,44,,,X,36.72027,-3.55142,https://www.airbnb.es/rooms/1166649904161181186?adults=6&check_in=2025-07-17&check_out=2025-07-22&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745429454_P3wK7XfSYu8JLLaT&previous_page_section_name=1000
Casa Mágica Salobreña,"- Costa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- TV
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,527,,,,88,,,,75,,X,,13,,X,,36.74528,-3.58576,https://www.airbnb.es/rooms/1160629720194834846?adults=6&check_in=2025-07-15&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745429454_P3eBw4HKcn97K2rb&previous_page_section_name=1000
Homity Holidays - Apartamento De Lujo Ma-2-P3-1D,"- Vistas al campo de golf
- Vistas al lago
- Acceso compartido a la playa
- Cocina
- Wifi
- Aparcamiento gratuito en garaje en la propiedad: 1 plaza
- Piscina compartida:
- Televisión de alta definición de 75 pulgadas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,1109,,,,185,,,,252,,,,42,,,,36.71884,-3.54964,https://www.airbnb.es/rooms/52648479?adults=6&check_in=2025-07-15&check_out=2025-07-19&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745429454_P3pHMXZrswaZsRW7&previous_page_section_name=1000
"Diseño, Relax Y Golf Frente Al Mediterráneo","- Vistas al jardín
- Vistas al campo de golf
- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina descubierta compartida: disponible según la temporada
- disponible en un horario específico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",14,1013,,,,169,,,,200,,,,34,,,,36.71904,-3.56153,https://www.airbnb.es/rooms/653439067717076537?adults=6&check_in=2025-07-16&check_out=2025-07-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745429454_P3BGI7_Gata9jskf&previous_page_section_name=1000
