Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
Ático De 3 Dormitorios En La Zona De Parador,"- Vistas al jardín
- Vistas al mar
- Cocina
- Wifi
- Zona para trabajar
- TV
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,825,,,,138,,,,185,,,,31,,,,36.74808,-3.8721,https://www.airbnb.es/rooms/899045666315271547?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745432151_P3QzPh_ki2jz2EEj&previous_page_section_name=1000
"Anl (C4) Torrecilla, Apartamentos Nerjaluna","- Wifi
- Piscina descubierta compartida: de agua salada
- en la azotea
- Televisión con televisión por cable estándar
- Ascensor
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",11,657,,,,110,,,,219,,,,37,,,,36.74617,-3.87953,https://www.airbnb.es/rooms/45761272?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745432151_P3i-EurzXDfi1PRV&previous_page_section_name=1000
Kaluel,"- Cocina
- Wifi
- Televisión con televisión por cable estándar
- Lavadora
- Aire acondicionado
- Patio o balcón
- Cuna de pago
- Trona de pago
- Secador de pelo
- Frigorífico",10,855,,,,143,,,,205,,,,35,,,,36.752788,-3.8685094,https://www.airbnb.es/rooms/1354228079484534271?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745432151_P3NSZsL1QBVLntOL&previous_page_section_name=1000
Casa Acogedora | Piscina | Cerca De La Playa | Barbacoa | Chimenea,"- Vistas a la montaña
- Costa
- Cocina
- Wifi
- Aparcamiento gratuito en la entrada dentro de la propiedad
- Piscina
- TV
- Lavadora
- Patio privado o balcón
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,847,,,,142,,,,266,,,,45,,,,36.76,-3.9469,https://www.airbnb.es/rooms/1364590542997619759?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745432151_P30gxX-4xmuQqKdv&previous_page_section_name=1000
Casa Limón,"- Cocina
- Wifi rápido (93 Mbps)
- Aparcamiento gratuito en la calle
- Piscina compartida
- TV
- Lavadora en el alojamiento (Gratis)
- Aire acondicionado de ventana
- Bañera
- Patio o balcón
- Patio trasero privado: Con valla en todo el perímetro",10,740,,,,124,,,,180,,,,30,,,,36.76288,-3.87493,https://www.airbnb.es/rooms/559775895599313447?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745432151_P3xO39qEMz4TkdiP&previous_page_section_name=1000
Casa Rural En Cómpeta - El Cerrillo,"- Vistas a la montaña
- Vistas al mar
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina descubierta privada: disponible todo el año
- disponible las 24 horas
- Jacuzzi privado: disponible todo el año
- disponible las 24 horas
- Admite mascotas
- Televisión de alta definición de 42 pulgadas con televisión por cable estándar
- Lavadora en el alojamiento (Gratis)",12,831,,,,139,,,,200,,,X,34,,,X,36.81942,-3.97892,https://www.airbnb.es/rooms/16819209?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745432151_P3cpWTVcK560yg9j&previous_page_section_name=1000
3A Apartamentos Latinos,"- Cocina
- Wifi
- Piscina
- TV
- Ascensor
- Lavadora
- Aire acondicionado
- Bañera
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,748,,,,125,,,,374,,,,63,,,,36.74808,-3.87228,https://www.airbnb.es/rooms/1113064769207486313?adults=6&check_in=2025-07-17&check_out=2025-07-19&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745432151_P3DPIecmLpqglA-4&previous_page_section_name=1000
Terraza Con Vistas Al Mar Y Al Jardín,"- Vistas al mar
- Vistas al patio
- Acceso compartido a la playa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina descubierta compartida: piscina para nadar
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,1341,,,,224,,,,165,,,,28,,,,36.76211,-3.86782,https://www.airbnb.es/rooms/8046749?adults=6&check_in=2025-07-15&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745432151_P3ly8OOznhINHYl2&previous_page_section_name=1000
Terrazas De Ladera Duplex 10 By Casasol,"- Vistas al mar
- Vistas a la montaña
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina
- TV
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,1445,,,,241,,,,259,,,,44,,,,36.74513,-3.90784,https://www.airbnb.es/rooms/1039195780980551485?adults=6&check_in=2025-07-16&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745432151_P3LrH6OfXntCD1JK&previous_page_section_name=1000
1165 Casa Sandra,"- Cocina
- Wifi
- TV
- Lavadora
- Aire acondicionado
- Bañera
- Patio o balcón
- Chimenea interior
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,1756,,,,293,,,,351,,,,59,,,,36.75013,-3.87443,https://www.airbnb.es/rooms/43816400?adults=6&check_in=2025-07-17&check_out=2025-07-22&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745432151_P3orayKxNW0LDWsB&previous_page_section_name=1000
