Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
Fabuloso Piso Centro-San Miguel,"- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- Admite mascotas
- TV
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,544,,X,,68,,X,,147,,X,,19,,X,,36.6774,-6.1351,https://www.airbnb.es/rooms/790360098580655587?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3AUnL-dfqRM8gK7&previous_page_section_name=1000
Tu Hogar De Vacaciones,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina
- Jacuzzi
- TV
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,1065,,,,134,,,,303,,,,38,,,,36.3913481,-6.1449462,https://www.airbnb.es/rooms/1371258670846267888?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3Rql0DaSd4TxECc&previous_page_section_name=1000
Piso Céntrico En Conil De La Frontera,"- Cocina
- Aparcamiento gratuito en las instalaciones
- TV
- Lavadora
- Aire acondicionado
- Patio o balcón
- Parque/cunas de viaje
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,1411,,,,177,,,,375,,,,47,,,,36.28049,-6.09093,https://www.airbnb.es/rooms/21065754?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P33Q_UhEn5QBVDaT&previous_page_section_name=1000
"Casa En Jerez , Cerca De La Playa Y De La Sierra.","- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- TV
- Lavadora en el alojamiento (Gratis)
- Aire acondicionado
- Patio trasero privado: Con valla en todo el perímetro
- Parque/cunas de viaje
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,773,,,,97,,,,220,,,,28,,,X,36.68353,-6.10529,https://www.airbnb.es/rooms/962292977929010941?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3oBDXv-nHs1ldWl&previous_page_section_name=1000
"Vejer, Chalet Con Piscina Climatizado Parking","- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina descubierta compartida: disponible según la temporada
- disponible en un horario específico
- Televisión de alta definición
- Lavadora
- Aire acondicionado
- Patio o balcón
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,937,,,X,118,,,X,250,,,X,32,,,,36.24772,-5.96951,https://www.airbnb.es/rooms/20530858?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3PEt-OXADK-oy5G&previous_page_section_name=1000
Unifamiliar A 5 Minutos De La Playa De Camposoto,"- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- TV
- Lavadora
- Aire acondicionado
- Patio o balcón
- Patio trasero
- Cuna: siempre en el alojamiento",10,1171,,,,147,,,,250,,,X,32,,,,36.44745,-6.21557,https://www.airbnb.es/rooms/1154331218303235439?adults=8&check_in=2025-07-16&check_out=2025-07-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745444141_P3_a5PjgJMlS-Ko5&previous_page_section_name=1000
Villa Las Higueras,"- Acceso compartido a la playa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina privada
- Admite mascotas
- TV
- Lavadora
- Aire acondicionado",10,1955,,,,245,,,,320,,,,40,,,,36.40253,-6.1775,https://www.airbnb.es/rooms/47435620?adults=8&check_in=2025-07-17&check_out=2025-07-22&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745444141_P3GMiFo8aqu_YI9E&previous_page_section_name=1000
Chalet Con Piscina Para Dormir Hasta 25 Huéspedes,"- Vistas al patio
- Costa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina descubierta privada: disponible según la temporada
- disponible las 24 horas
- piscina para nadar
- Admite mascotas
- Televisión de alta definición con Amazon Prime Video
- Apple TV
- Chromecast
- Disney+
- Fire TV
- HBO Max
- Hulu
- Netflix
- canales por cable premium
- Roku
- televisión por cable estándar
- Lavadora en el alojamiento (Gratis)",22,1321,,,,166,,,,351,,,,44,,,,36.4607,-6.125,https://www.airbnb.es/rooms/707844974604057186?adults=8&check_in=2025-07-19&check_out=2025-07-22&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745444141_P3odhFgrk4xlI-JO&previous_page_section_name=1000
"Piso Céntrico, 5 Habitaciones 5 Baños En Suite.","- Cocina
- Wifi
- Zona para trabajar
- Admite mascotas
- TV
- Ascensor
- Lavadora
- Sistema de aire acondicionado sin conductos tipo split
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,1042,,,,131,,,,297,,,,38,,,,36.6813827,-6.1352162,https://www.airbnb.es/rooms/1363832979792936539?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3OU-BIpZUhd8s84&previous_page_section_name=1000
Sancti Petri Suite Con Piscina Y Jardín,"- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina descubierta privada: disponible las 24 horas
- Televisión de alta definición de 65 pulgadas
- Lavadora
- Aire acondicionado centralizado
- Patio trasero privado: Con valla en todo el perímetro
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,2020,,,,253,,,,552,,,,69,,,,36.36573,-6.16394,https://www.airbnb.es/rooms/1207350210273996858?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3dLPFMIWFyJAGnA&previous_page_section_name=1000
Duplex 3 Dormitorios,"- Cocina
- Wifi
- TV
- Ascensor
- Lavadora
- Aire acondicionado
- Secador de pelo
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,1228,,,,154,,,,409,,,,52,,,,36.6789,-6.1365,https://www.airbnb.es/rooms/4285185?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3YDnilOAnHWM3br&previous_page_section_name=1000
Casa Che,"- Vistas al canal
- Vistas al perfil urbano
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Admite mascotas
- Televisión de alta definición
- Lavadora en el alojamiento (Gratis)
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,618,,,,78,,,,176,,,,22,,,,36.2255,-5.9479,https://www.airbnb.es/rooms/1003359465021843142?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3XSe3Iw0wzwp06E&previous_page_section_name=1000
Apartamentos El Alcázar De Jerez - Apartamento 5,"- Wifi
- TV
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",7,679,,,,85,,,,223,,,,28,,,X,36.68003,-6.13745,https://www.airbnb.es/rooms/52626470?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3rJ2bUzPKZOQREn&previous_page_section_name=1000
"Maravilloso Chalet De Veraneo En Roche, A Estrenar","- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina compartida
- Televisión de alta definición
- Lavadora
- Aire acondicionado centralizado
- Chimenea interior
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,1786,,,,224,,,,475,,,,60,,,,36.31397,-6.14581,https://www.airbnb.es/rooms/626849562220330308?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3iQtlP4uOEU2kfo&previous_page_section_name=1000
Casa Privada Cádiz Capital - Alquiler Retiros,"- Cocina
- Wifi
- Zona para trabajar
- TV
- Ascensor
- Lavadora
- Aire acondicionado
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,3010,X,,,377,X,,,970,X,,,122,X,,,36.53559,-6.29922,https://www.airbnb.es/rooms/923684143029528547?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3RX0Wdp3edaNgbr&previous_page_section_name=1000
Palacio Jerez De La Frontera Con Piscina Privada,"- Vistas al perfil urbano
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- Piscina privada
- TV
- Ascensor
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,2810,,,,352,,,,800,,,,100,,,,36.68641,-6.13882,https://www.airbnb.es/rooms/20180235?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3nNaWfaTIHM9ZDJ&previous_page_section_name=1000
Preciosa Casa En Chiclana De La Frontera,"- Cocina
- Wifi
- Aparcamiento gratuito en la entrada dentro de la propiedad
- Piscina descubierta privada
- Admite mascotas
- TV
- Lavadora
- Bañera
- Patio trasero
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,2158,,,,270,,,,719,,,,90,,,,36.4537,-6.1394,https://www.airbnb.es/rooms/1011388965539689692?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3fvhUyRqDQJkniu&previous_page_section_name=1000
Casita Vacacional,"- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina
- TV
- Lavadora
- Aire acondicionado
- Bañera
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,937,,,X,118,,,X,267,,,,34,,,,36.46189,-6.1209,https://www.airbnb.es/rooms/1190648547685455800?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3SK5gzOPKTAVk2B&previous_page_section_name=1000
Casa Del Gobernador De Cuba - Vft Ca-00055,"- Vistas al perfil urbano
- Vistas al patio
- Cocina
- Wifi rápido (92 Mbps)
- Zona para trabajar
- Aparcamiento gratuito en un garaje residencial en la propiedad: 3 plazas
- Piscina cubierta privada: disponible todo el año
- disponible las 24 horas
- TV
- Bañera
- Patio privado o balcón",11,2283,,,,286,,,,650,,,,82,,,,36.68933,-6.14011,https://www.airbnb.es/rooms/4393202?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3Sd-8Z05avVrew0&previous_page_section_name=1000
Apartamento Mariposa,"- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- TV
- Ascensor
- Lavadora
- Aire acondicionado
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,591,,,,74,,,,197,,,,25,,,,36.69542,-6.15026,https://www.airbnb.es/rooms/988433308735379035?adults=8&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745444141_P3DDM4SI9ceijDoH&previous_page_section_name=1000
