Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
"Cortijo Maya, Casa Cueva Grande Piscina","- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina cubierta privada
- TV
- Lavadora
- Secadora
- Patio privado o balcón
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,1007,,,,101,,,,185,,X,,19,,X,,36.9637,-2.5398,https://www.airbnb.es/rooms/43197151?adults=10&check_in=2025-07-10&check_out=2025-07-14&search_mode=regular_search&source_impression_id=p3_1746478225_P3egb4FSbyuoP6Dj&previous_page_section_name=1000
Villa Con Vistas Infinitas Al Mar I Piscina I Barbacoa I Jacuzzi,"- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina
- Jacuzzi
- Admite mascotas
- TV
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,2280,,,,228,,,,530,,,,53,,,,36.82746,-2.49996,https://www.airbnb.es/rooms/1147865291461111737?adults=10&check_in=2025-07-10&check_out=2025-07-14&search_mode=regular_search&source_impression_id=p3_1746478225_P33NUECM7_GaAk5F&previous_page_section_name=1000
Casa Sequoiah,"- Vistas al mar
- Vistas al mar
- Acceso compartido a la playa (primera línea)
- Cocina
- Wifi rápido (77 Mbps)
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Lavadora en el alojamiento (De pago)
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,2437,,,,244,,,,459,,,,46,,,,36.75185,-2.11109,https://www.airbnb.es/rooms/609310144174738606?adults=10&check_in=2025-07-10&check_out=2025-07-14&search_mode=regular_search&source_impression_id=p3_1746478225_P38EnSPShXuIsE0x&previous_page_section_name=1000
Cortijocueva Con Encanto Natural,"- Vistas a la montaña
- Vistas al valle
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina privada:
- Admite mascotas
- TV
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,1171,,,,118,,,,250,,,,25,,,,36.9545,-2.59068,https://www.airbnb.es/rooms/919329692046800839?adults=10&check_in=2025-07-10&check_out=2025-07-14&search_mode=regular_search&source_impression_id=p3_1746478225_P3fR4pdbGOTsAdPX&previous_page_section_name=1000
Casa Rural En Tabernas,"- Cocina
- Aparcamiento gratuito en las instalaciones
- Piscina privada
- Admite mascotas
- TV
- Lavadora
- Aire acondicionado
- Patio privado o balcón
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,1311,,,,132,,,,280,,,,28,,,,37.0579,-2.3771,https://www.airbnb.es/rooms/44893245?adults=10&check_in=2025-07-10&check_out=2025-07-14&search_mode=regular_search&source_impression_id=p3_1746478225_P3uhZR47bZvRxhgJ&previous_page_section_name=1000
Villamar,"- Vistas al mar
- Acceso compartido a la playa
- Cocina
- Aparcamiento gratuito en las instalaciones
- TV
- Lavadora
- Aire acondicionado
- Patio o balcón
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,2148,,,,215,,,,438,,,,44,,,,36.75928,-2.11003,https://www.airbnb.es/rooms/25440049?adults=10&check_in=2025-07-10&check_out=2025-07-14&search_mode=regular_search&source_impression_id=p3_1746478225_P3-5-vRkR2vr2LxY&previous_page_section_name=1000
Villa Con Piscina Privada - Disponible Del 9 Al 17 De Julio,"- Vistas al mar
- Vistas a la montaña
- Cocina
- Wifi rápido (380 Mbps)
- Aparcamiento gratuito en las instalaciones
- Piscina descubierta privada: disponible todo el año
- disponible las 24 horas
- Televisión de alta definición con Netflix
- televisión por cable estándar
- Amazon Prime Video
- Lavadora en el edificio (Gratis)
- Secadora
- Aire acondicionado centralizado",13,4610,X,,,461,X,,,536,,,,54,,,,37.13,-1.83549,https://www.airbnb.es/rooms/38773210?adults=10&check_in=2025-07-09&check_out=2025-07-16&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1746478225_P3yoo7JszaO-yynl&previous_page_section_name=1000
Chalet+ Apartamento Adosado Mojácar Playa Familiar,"- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la entrada dentro de la propiedad
- Piscina descubierta privada: de agua salada
- Admite mascotas
- Televisión de alta definición de 50 pulgadas con Netflix
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,3185,,,,319,,,,420,,,,42,,,,37.12208,-1.83524,https://www.airbnb.es/rooms/48493023?adults=10&check_in=2025-07-08&check_out=2025-07-14&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1746478225_P31yYiKNhxNWRh4n&previous_page_section_name=1000
"Casa T- Cuatro, Las Negras","- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- TV
- Lavadora en el alojamiento (Gratis)
- Sistema de aire acondicionado sin conductos tipo split
- Bañera
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,2716,,,,272,,,,310,,,,31,,,,36.8791,-2.0125,https://www.airbnb.es/rooms/19204566?adults=10&check_in=2025-07-08&check_out=2025-07-15&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1746478225_P32L44VOWCAmolcJ&previous_page_section_name=1000
"Piscina Privada,300M De La Playa, Wifi Gratis","- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- Piscina privada
- TV
- Lavadora
- Bañera
- Patio privado o balcón
- Patio trasero",11,2189,,,,219,,,,430,,,,43,,,,36.7754,-2.6047,https://www.airbnb.es/rooms/26031368?adults=10&check_in=2025-07-10&check_out=2025-07-14&search_mode=regular_search&source_impression_id=p3_1746478225_P31kX39arSsxNdEu&previous_page_section_name=1000
