Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
Apartamento Ideal Para Familias Cerca De La Playa,"- Acceso compartido a la playa (primera línea)
- Cocina
- Wifi
- Aparcamiento gratuito en la propiedad: 1 plaza
- Piscina compartida
- Admite mascotas
- TV
- Ascensor
- Lavadora
- Aire acondicionado",10,585,,,,98,,,,155,,,,26,,,,38.9761,-0.1446,https://www.airbnb.es/rooms/911990208664756568?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3i_cGFVIUnj2ZCs&previous_page_section_name=1000
Apartamento En Playa,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Admite mascotas
- TV
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,410,,,X,69,,,X,100,,,,17,,,,38.92388,-0.08994,https://www.airbnb.es/rooms/970676858129920998?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3_eB7gcpM5ikv_s&previous_page_section_name=1000
Hermosa Y Luminosa Casa De 4 Dormitorios En Gandía,"- Cocina
- Aparcamiento gratuito en la calle
- TV
- Ascensor
- Aire acondicionado
- Bañera
- Secador de pelo
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,749,,,,125,,,,197,,,X,33,,,,38.97321,-0.17729,https://www.airbnb.es/rooms/43324381?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3hEL1y2xM16uC6W&previous_page_section_name=1000
Ático Duplex En Playa De Daimus,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- Jacuzzi
- TV
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,878,,,,147,,,,220,,,,37,,,,38.97487,-0.1448,https://www.airbnb.es/rooms/1115449199513142595?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3dz_2kYgY9pkktK&previous_page_section_name=1000
Apartamento Cerca De Todo En Gandía,"- Vistas a la montaña
- Cocina
- Zona para trabajar
- Aparcamiento gratuito en la calle
- Admite mascotas
- TV
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,728,,,,122,,,,191,,,,32,,,X,38.96172,-0.18684,https://www.airbnb.es/rooms/50110301?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3epMaRDx7YJRm86&previous_page_section_name=1000
Casa El Solet. La Drova. Barx.,"- Vistas al jardín
- Vistas a la montaña
- Acceso compartido a la playa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,650,,,,109,,,,185,,,,31,,,,39.00481,-0.27946,https://www.airbnb.es/rooms/877377383588384652?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3DvdEs1Ufp8oYfl&previous_page_section_name=1000
Ático Con Terraza Junto Al Paseo De Germanías,"- Cocina
- Wifi rápido (463 Mbps)
- Zona para trabajar
- Piscina
- TV
- Lavadora
- Aire acondicionado
- Patio privado o balcón
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,245,,X,,41,,X,,90,,X,,15,,X,,38.9668,-0.1881,https://www.airbnb.es/rooms/1316665793465833844?adults=6&check_in=2025-07-16&check_out=2025-07-18&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745427930_P3mKM150c_g9twKA&previous_page_section_name=1000
Planta Baja Cerca Del Mar Y De Todos Los Servicios,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- TV
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",10,410,,,X,69,,,X,160,,,,27,,,,38.96365,-0.13155,https://www.airbnb.es/rooms/1196172384024606965?adults=6&check_in=2025-07-17&check_out=2025-07-19&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745427930_P3eFP3xIWNWBAEVw&previous_page_section_name=1000
Escapada Costera Puerto Y Playa,"- Vistas al jardín
- Vistas al puerto
- Acceso compartido a la playa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- Admite mascotas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,1124,,,,188,,,,230,,,,39,,,,38.9928,-0.1614,https://www.airbnb.es/rooms/1160856569135944374?adults=6&check_in=2025-07-16&check_out=2025-07-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745427930_P3VUoVXmphnDo-3h&previous_page_section_name=1000
Ático Familiar Premium En Gandía Con Piscina,"- Costa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina
- TV
- Ascensor
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,1346,X,,,225,X,,,215,,,,36,,,,38.97665,-0.17811,https://www.airbnb.es/rooms/1160723178248674320?adults=6&check_in=2025-07-17&check_out=2025-07-22&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745427930_P3lyHPyjGYsboWOx&previous_page_section_name=1000
Apartamento Vistas Al Mar Sr31D,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- TV
- Lavadora
- Sistema de aire acondicionado sin conductos tipo split
- Cuna
- Parque/cunas de viaje: disponible previa solicitud",11,849,,,,142,,,,135,,,,23,,,,38.9648,-0.1307,https://www.airbnb.es/rooms/1122295144285019413?adults=6&check_in=2025-07-15&check_out=2025-07-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745427930_P3LtQhoO8QnbfZoL&previous_page_section_name=1000
Moderno Chalet Con Piscina,"- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina
- Admite mascotas
- TV
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,872,,,,146,,,,235,,,,40,,,,38.9544,-0.1961,https://www.airbnb.es/rooms/1145026405930639063?adults=6&check_in=2025-07-15&check_out=2025-07-18&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745427930_P3Th7wNtBKkDtP8k&previous_page_section_name=1000
Loft Con Vistas A La Costa Española Cerca De Valencia,"- Vistas a la montaña
- Vistas al mar
- Cocina
- Wifi rápido (252 Mbps)
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Admite mascotas
- TV
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,560,,,,94,,,,116,,,,20,,,,38.93223,-0.16613,https://www.airbnb.es/rooms/909941037207443996?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3_PobwCMUSzBIdw&previous_page_section_name=1000
Apartamento 105M2 Cerca Playa De Gandia,"- Cocina
- Wifi
- TV
- Ascensor
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",10,606,,,,101,,,,163,,,,28,,,,38.94977,-0.19531,https://www.airbnb.es/rooms/36781551?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3SqoElB9Mm6WyTv&previous_page_section_name=1000
Apartamento Junto A La Playa En Daimus,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",10,673,,,,113,,,,180,,,,30,,,,38.9789,-0.1478,https://www.airbnb.es/rooms/1187208889321258108?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3J5ec_SUp5j92DS&previous_page_section_name=1000
Hermoso Piso Familiar!,"- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina
- Sauna
- TV
- Ascensor
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,989,,,,165,,,,265,,,,45,,,,39.01703,-0.1786781,https://www.airbnb.es/rooms/1395420438080575907?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3lu_Ne4KosaxJL2&previous_page_section_name=1000
La Casita Grande,"- Costa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- Piscina
- Admite mascotas
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,1288,,,,215,,,,350,X,,,59,X,,,38.9686768,-0.1508552,https://www.airbnb.es/rooms/1297756405954985163?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3fEnGKBiPrw2OkB&previous_page_section_name=1000
Apartamento Reformado En El Grao De Gandia,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- Admite mascotas
- TV
- Lavadora
- Sistema de aire acondicionado sin conductos tipo split
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,1083,,,,181,,,,300,,,,50,,,,38.99291,-0.15928,https://www.airbnb.es/rooms/19907181?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3PjULW4X7x-vwRH&previous_page_section_name=1000
Gandiacentrum,"- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- TV
- Ascensor
- Lavadora en el alojamiento (Gratis)
- Sistema de aire acondicionado sin conductos tipo split
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,866,,,,145,,,,230,,,,39,,,,38.97045,-0.1809,https://www.airbnb.es/rooms/704748711394326305?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P39qsJBo5u7Q7MlD&previous_page_section_name=1000
Apartamentos Costa Blanca,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- TV
- Ascensor
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,918,,,,153,,,,245,,,,41,,,,39.00489,-0.16283,https://www.airbnb.es/rooms/1109503075414716103?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3PtJRmmVqBjb_BZ&previous_page_section_name=1000
Hermoso Apartamento En La Playa,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- TV
- Lavadora
- Aire acondicionado
- Cuna
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,761,,,,127,,,,197,,,X,33,,,,38.9608124,-0.1270764,https://www.airbnb.es/rooms/1384752885061691817?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3L7aX3Hx8x_X2g7&previous_page_section_name=1000
Piso Pueblo De Gandia Con Aire,"- Cocina
- Wifi
- Admite mascotas
- TV
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",10,685,,,,115,,,,187,,,,32,,,X,38.96777,-0.18946,https://www.airbnb.es/rooms/1158406720192114580?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3U8OEm5XXXjBi4q&previous_page_section_name=1000
Ático,"- Costa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- Piscina
- Admite mascotas
- TV
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,492,,,,82,,,,140,,,,24,,,,38.8432,-0.1147,https://www.airbnb.es/rooms/1191233599878609879?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3hCFi0Dievd_94T&previous_page_section_name=1000
La Casita Del Mar,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- Admite mascotas
- TV
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,1101,,,,184,,,,313,,,,53,,,,38.9286,-0.0929,https://www.airbnb.es/rooms/1153661562088373662?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745427930_P3nayzj4E3mckAcJ&previous_page_section_name=1000
