Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
Mojácar Playa Vacaciones,"- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina
- Jacuzzi
- TV
- Lavadora
- Aire acondicionado
- Bañera
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,1405,,,,235,,,,380,,,,64,,,X,37.14209,-1.82736,https://www.airbnb.es/rooms/1202360682183292356?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745430153_P3miSviewvieHcZ4&previous_page_section_name=1000
Casa Mojacar Vistas Espectaculares,"- Vistas al mar
- Vistas al perfil urbano
- Acceso compartido a la playa
- Cocina
- Wifi rápido (432 Mbps)
- Aparcamiento gratuito en la calle
- Admite mascotas
- TV
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,838,,,,140,,,,212,,,,36,,,,37.1409,-1.8499,https://www.airbnb.es/rooms/3298161?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745430153_P3LJJWsDG4NWFZy0&previous_page_section_name=1000
Pinar De Garrucha - Con Piscina Y Garaje,"- Vistas al patio
- Vistas al resort
- Acceso compartido a la playa
- Cocina
- Aparcamiento gratuito en garaje en la propiedad: 1 plaza
- Piscina descubierta compartida: disponible todo el año
- disponible en un horario específico
- infinita
- juguetes para piscina
- Televisión de alta definición
- Ascensor
- Lavadora en el alojamiento (Gratis)
- Bañera",13,667,,,X,112,,,X,167,,,,28,,,,37.1745,-1.8267,https://www.airbnb.es/rooms/623872628675558789?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745430153_P3yEI00rdH_RE0_0&previous_page_section_name=1000
Ático De 3 Dormitorios Con Terraza Grande Y Vistas Al Mar,"- Vistas al mar
- Costa
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- TV
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,638,,,,107,,,,213,,,,36,,,,37.18437,-1.82195,https://www.airbnb.es/rooms/1381791644898943958?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745430153_P3bx0g-KOX64jdfB&previous_page_section_name=1000
"Mojacarproperty, Casa Isabel Playa","- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Admite mascotas
- TV
- Lavadora en el alojamiento (Gratis)
- Aire acondicionado portátil
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,1139,,,,190,,,,316,,,,53,,,,37.1459,-1.8267,https://www.airbnb.es/rooms/22447011?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745430153_P3trAd3yFpykRmaU&previous_page_section_name=1000
Almería Suite Mojácar Breeze Sun503,"- Vistas al mar
- Acceso compartido a la playa (primera línea)
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina descubierta compartida: disponible según la temporada
- disponible en un horario específico
- TV
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,1204,,,,201,,,,381,,,,64,,,X,37.14371,-1.82893,https://www.airbnb.es/rooms/1209252406843993274?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745430153_P31OoGt3QNRS16yB&previous_page_section_name=1000
La Terraza Del Sol,"- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina
- Televisión de alta definición
- Lavadora (en el alojamiento)
- Secadora (en el alojamiento)
- Aire acondicionado
- Se permite dejar el equipaje
- No disponible: Detector de humo
Detector de humo",11,562,,,,94,,,,120,,X,,20,,X,,37.21493,-1.83298,https://www.airbnb.es/rooms/1150844040385563839?adults=6&check_in=2025-07-17&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745430153_P34WCHEHy7AKncxk&previous_page_section_name=1000
"Peces En La Higuera, Mojacar","- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina
- TV
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,1054,,,,176,,,,150,,,,25,,,,37.1398,-1.8298,https://www.airbnb.es/rooms/1064588364636523825?adults=6&check_in=2025-07-15&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745430153_P3Ca6gVlEDx35wu4&previous_page_section_name=1000
Dúplex Mojácar Playa Frente Al Mar- 6 Personas,"- Vistas al jardín
- Vistas al mar
- Acceso compartido a la playa (primera línea)
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en un garaje residencial en la propiedad: 2 plazas
- Piscina descubierta compartida: disponible todo el año
- disponible en un horario específico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,1229,,,,205,,,,245,,,X,41,,,,37.14445,-1.82588,https://www.airbnb.es/rooms/597156593611597761?adults=6&check_in=2025-07-15&check_out=2025-07-19&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745430153_P3ufNCs7EUjWHTWs&previous_page_section_name=1000
Agradable Casa Con Piscina En Entorno Natural,"- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina privada
- TV
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,820,,,,137,,,,210,,,,35,,,,37.01057,-1.90908,https://www.airbnb.es/rooms/50263085?adults=6&check_in=2025-07-15&check_out=2025-07-18&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745430153_P3QiisVTTzBborLy&previous_page_section_name=1000
