Nombre,Precio por noche,Precio por noche por viajero,Precio total,Precio total por viajero,Latitud,Longitud,Servicios,URL
Villa de playa moderna con estacionamiento y piscina privada,500,63,1100,138,36.63362,-4.49296,"- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina privada
- Admite mascotas
- TV
- Lavadora
- Aire acondicionado
- Chimenea interior
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",https://www.airbnb.es/rooms/45383305?adults=8&check_in=2025-06-17&check_out=2025-06-19&search_mode=regular_search&source_impression_id=p3_1745323883_P3diQc172U0ik9s_&previous_page_section_name=1000
VB Camelia 5hab Villa Piscina Relax,347,44,919,115,36.585,-4.5385,"- Vistas al perfil urbano
- Vistas a la montaña
- Acceso compartido a la playa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la entrada dentro de la propiedad: 1 plaza
- Piscina descubierta privada: disponible todo el año
- disponible en un horario específico
- TV
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",https://www.airbnb.es/rooms/1359261885730416011?adults=8&check_in=2025-06-17&check_out=2025-06-19&search_mode=regular_search&source_impression_id=p3_1745323883_P3g-zHpr7e7x_wfA&previous_page_section_name=1000
Casa Beramendi,344,43,688,86,36.6377,-4.4935,"- Vistas al jardín
- Vistas a la montaña
- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- TV
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",https://www.airbnb.es/rooms/40958491?adults=8&check_in=2025-06-17&check_out=2025-06-19&search_mode=regular_search&source_impression_id=p3_1745323883_P3BWJO0O7hlzuqpN&previous_page_section_name=1000
Villa & Piscina climatizada junto a playa by REMS,565,71,1313,165,36.6,-4.5127,"- Acceso compartido a la playa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la propiedad: 2 plazas
- Piscina descubierta privada: disponible todo el año
- disponible las 24 horas
- climatizada
- TV
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",https://www.airbnb.es/rooms/934635677978237726?adults=8&check_in=2025-06-17&check_out=2025-06-19&search_mode=regular_search&source_impression_id=p3_1745323883_P3yfuk0zKJal_Tlj&previous_page_section_name=1000
Moderna villa en Playamar para 10,673,85,1696,212,36.63255,-4.49549,"- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina
- TV
- Lavadora
- Secadora
- Aire acondicionado
- Bañera
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",https://www.airbnb.es/rooms/1112855140318243118?adults=8&check_in=2025-06-17&check_out=2025-06-19&search_mode=regular_search&source_impression_id=p3_1745323883_P3XuQdwJmdSQwn6K&previous_page_section_name=1000
Espacioso de lujo,290,37,1358,170,36.61045,-4.51092,"- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina
- Jacuzzi
- TV
- Ascensor
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",https://www.airbnb.es/rooms/8842108?adults=8&check_in=2025-06-16&check_out=2025-06-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745323884_P3tafMJa7cUlcWhh&previous_page_section_name=1000
Casa Terraza Piscina cerca de la playa,210,27,716,90,36.6022,-4.5157,"- Vistas al jardín
- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Zona para trabajar
- Piscina descubierta compartida: disponible según la temporada
- disponible en un horario específico
- Televisión de alta definición
- Lavadora en el alojamiento (Gratis)
- Aire acondicionado centralizado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",https://www.airbnb.es/rooms/18411247?adults=8&check_in=2025-06-16&check_out=2025-06-19&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745323884_P3oTPhzPXsa5g_xA&previous_page_section_name=1000
Atico triplex Oasis - piscina privada - vistas mar,698,88,3409,427,36.61668,-4.50722,"- Vistas al mar
- Vistas al mar
- Acceso compartido a la playa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la propiedad: 2 plazas
- Piscina descubierta privada: disponible todo el año
- disponible las 24 horas
- en la azotea
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",https://www.airbnb.es/rooms/32381612?adults=8&check_in=2025-06-16&check_out=2025-06-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745323884_P3qGAH8NsiQEC39W&previous_page_section_name=1000
Precioso adosado con piscina privada,325,41,1317,165,36.56193,-4.61358,"- Vistas al perfil urbano
- Vistas al patio
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina privada: disponible todo el año
- Sauna privada
- Televisión de alta definición
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",https://www.airbnb.es/rooms/562851453796932246?adults=8&check_in=2025-06-16&check_out=2025-06-19&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745323884_P3Y9Uh0bXzGGDwcC&previous_page_section_name=1000
Apartamento con gran terraza junto a la playa,426,54,1428,179,36.6006,-4.512,"- Vistas al mar
- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Zona para trabajar
- Admite mascotas
- TV
- Lavadora en el alojamiento (Gratis)
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",https://www.airbnb.es/rooms/948351293725662595?adults=8&check_in=2025-06-16&check_out=2025-06-19&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745323884_P3adwfEWXyTrZbuV&previous_page_section_name=1000
