Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
Villa De Playa Moderna Con Estacionamiento Y Piscina Privada,"- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina privada
- Admite mascotas
- TV
- Lavadora
- Aire acondicionado
- Chimenea interior
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,1100,,,,138,,,,500,,,,63,,,,36.63362,-4.49296,https://www.airbnb.es/rooms/45383305?adults=8&check_in=2025-06-17&check_out=2025-06-19&search_mode=regular_search&source_impression_id=p3_1745406483_P3w73dQuQuX017zx&previous_page_section_name=1000
Vb Camelia 5Hab Villa Piscina Relax,"- Vistas al perfil urbano
- Vistas a la montaña
- Acceso compartido a la playa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la entrada dentro de la propiedad: 1 plaza
- Piscina descubierta privada: disponible todo el año
- disponible en un horario específico
- TV
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",12,919,,,,115,,,,347,,,,44,,,,36.585,-4.5385,https://www.airbnb.es/rooms/1359261885730416011?adults=8&check_in=2025-06-17&check_out=2025-06-19&search_mode=regular_search&source_impression_id=p3_1745406483_P3pPLFF_vePb4Sa5&previous_page_section_name=1000
Casa Beramendi,"- Vistas al jardín
- Vistas a la montaña
- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- TV
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,688,,,,86,,,,344,,,X,43,,,X,36.6377,-4.4935,https://www.airbnb.es/rooms/40958491?adults=8&check_in=2025-06-17&check_out=2025-06-19&search_mode=regular_search&source_impression_id=p3_1745406483_P3M5KK-jU4Cybwwt&previous_page_section_name=1000
Moderna Villa En Playamar Para 10,"- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina
- TV
- Lavadora
- Secadora
- Aire acondicionado
- Bañera
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,1696,,,,212,,,,673,,,,85,,,,36.63255,-4.49549,https://www.airbnb.es/rooms/1112855140318243118?adults=8&check_in=2025-06-17&check_out=2025-06-19&search_mode=regular_search&source_impression_id=p3_1745406483_P3Q4zbJjyyB9tBz-&previous_page_section_name=1000
Villa & Piscina Climatizada Junto A Playa By Rems,"- Acceso compartido a la playa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la propiedad: 2 plazas
- Piscina descubierta privada: disponible todo el año
- disponible las 24 horas
- climatizada
- TV
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",14,1306,,,,164,,,,561,,,,71,,,,36.6,-4.5127,https://www.airbnb.es/rooms/934635677978237726?adults=8&check_in=2025-06-17&check_out=2025-06-19&search_mode=regular_search&source_impression_id=p3_1745406483_P3pN-a6TcXIPGQu0&previous_page_section_name=1000
Espacioso De Lujo,"- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina
- Jacuzzi
- TV
- Ascensor
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,1358,,,,170,,,,290,,,,37,,,,36.61045,-4.51092,https://www.airbnb.es/rooms/8842108?adults=8&check_in=2025-06-16&check_out=2025-06-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745406483_P31jRBF2blMTZZid&previous_page_section_name=1000
Casa Terraza Piscina Cerca De La Playa,"- Vistas al jardín
- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Zona para trabajar
- Piscina descubierta compartida: disponible según la temporada
- disponible en un horario específico
- Televisión de alta definición
- Lavadora en el alojamiento (Gratis)
- Aire acondicionado centralizado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",13,716,,,,90,,,,210,,,,27,,,,36.6022,-4.5157,https://www.airbnb.es/rooms/18411247?adults=8&check_in=2025-06-16&check_out=2025-06-19&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745406483_P3SwpSqN4GqpWGgR&previous_page_section_name=1000
Apartamento Con Gran Terraza Junto A La Playa,"- Vistas al mar
- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Zona para trabajar
- Admite mascotas
- TV
- Lavadora en el alojamiento (Gratis)
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,1417,,,,178,,,,422,,,,53,,,,36.6006,-4.512,https://www.airbnb.es/rooms/948351293725662595?adults=8&check_in=2025-06-16&check_out=2025-06-19&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745406483_P3oWJvKHoFNGuqXx&previous_page_section_name=1000
Atico Triplex Oasis - Piscina Privada - Vistas Mar,"- Vistas al mar
- Vistas al mar
- Acceso compartido a la playa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la propiedad: 2 plazas
- Piscina descubierta privada: disponible todo el año
- disponible las 24 horas
- en la azotea
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",14,3409,X,,,427,X,,,698,X,,,88,X,,,36.61668,-4.50722,https://www.airbnb.es/rooms/32381612?adults=8&check_in=2025-06-16&check_out=2025-06-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745406483_P3_6-f3EJ9g_DFFs&previous_page_section_name=1000
Precioso Adosado Con Piscina Privada,"- Vistas al perfil urbano
- Vistas al patio
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina privada: disponible todo el año
- Sauna privada
- Televisión de alta definición
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,1317,,,,165,,,,325,,,,41,,,,36.56193,-4.61358,https://www.airbnb.es/rooms/562851453796932246?adults=8&check_in=2025-06-16&check_out=2025-06-19&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745406483_P3X0_TWH-RZqXzV-&previous_page_section_name=1000
