Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
"Estudio, Baño Privado, Aire Acondicionado","- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Televisión de alta definición con Netflix
- Aire acondicionado centralizado
- Patio privado o balcón
- Secador de pelo
- Microondas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,269,,,,135,,,,77,,,,39,,,,36.4,-6.1792,https://www.airbnb.es/rooms/701168763956487789?adults=2&check_in=2025-07-24&check_out=2025-07-27&search_mode=regular_search&source_impression_id=p3_1751885422_P34YrLFK1-UpvIVw&previous_page_section_name=1000
Apartamento Cv Centro.,"- Cocina
- Wifi
- TV
- Aire acondicionado
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",7,246,,,,123,,,X,70,,,,35,,,,36.77818,-6.35174,https://www.airbnb.es/rooms/6192888?adults=2&check_in=2025-07-24&check_out=2025-07-27&search_mode=regular_search&source_impression_id=p3_1751885422_P37maBfnr2FHLUU0&previous_page_section_name=1000
Habitación Doble / Encantador Hostal / Cádiz,"- Wifi
- Televisión con televisión por cable estándar
- Ascensor
- Aire acondicionado
- Se permite dejar el equipaje
- Secador de pelo",6,380,,,,190,,,,127,,,,64,,,,36.5307,-6.29454,https://www.airbnb.es/rooms/28603051?adults=2&check_in=2025-07-24&check_out=2025-07-27&search_mode=regular_search&source_impression_id=p3_1751885422_P37xmGuqWECfv9h-&previous_page_section_name=1000
Coqueto Loft A 200 M De La Playa,"- Costa
- Cocina
- Wifi
- Admite mascotas
- TV
- Lavadora
- Sistema de aire acondicionado sin conductos tipo split
- Se permite dejar el equipaje
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,422,,,,211,,,,120,,,,60,,,,36.6214,-6.3616,https://www.airbnb.es/rooms/1155909744793677104?adults=2&check_in=2025-07-24&check_out=2025-07-27&search_mode=regular_search&source_impression_id=p3_1751885422_P3GpKfoQXkErxFso&previous_page_section_name=1000
Apartamento En El Corazón Del Centro Histórico.,"- Cocina
- Wifi
- TV
- Lavadora
- Aire acondicionado
- Patio o balcón compartido
- Se permite dejar el equipaje
- Cuna: disponible previa solicitud
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,475,X,,,238,X,,,135,X,,,68,X,,,36.5358,-6.2985,https://www.airbnb.es/rooms/29630893?adults=2&check_in=2025-07-24&check_out=2025-07-27&search_mode=regular_search&source_impression_id=p3_1751885422_P35hxteZtclA7Vz_&previous_page_section_name=1000
Calidez Y Confort Al Alcance De Todos.,"- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- TV
- Lavadora
- Se permite dejar el equipaje
- Secador de pelo
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,157,,,,79,,,,67,,,,34,,,,36.45911,-5.92911,https://www.airbnb.es/rooms/48736278?adults=2&check_in=2025-07-23&check_out=2025-07-25&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1751885423_P36JFbjYDpJbVTKt&previous_page_section_name=1000
Apartamento Centro De Cádiz,"- Cocina
- Wifi
- TV
- Lavadora
- Secadora
- Aire acondicionado
- Bañera
- Secador de pelo
- Frigorífico
- Microondas",10,469,,,X,235,,,,100,,,X,50,,,X,36.53048,-6.29865,https://www.airbnb.es/rooms/4552954?adults=2&check_in=2025-07-25&check_out=2025-07-29&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1751885423_P3bn41uzpB_4ej0V&previous_page_section_name=1000
Apartamento “ La Pepa”,"- Acceso compartido a la playa
- Cocina
- Wifi
- Televisión de alta definición de 50 pulgadas
- Lavadora en el alojamiento (Gratis)
- Aire acondicionado centralizado
- Cuna: disponible previa solicitud
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,352,,,,176,,,,100,,,X,50,,,X,36.5297,-6.3027,https://www.airbnb.es/rooms/599972938907330741?adults=2&check_in=2025-07-25&check_out=2025-07-28&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1751885423_P33Myo44BcSwGrAP&previous_page_section_name=1000
Habitación Doble «El Sol» Con Aire Acondicionado Y Terraza En La Azotea.,"- Cerradura en la puerta del dormitorio
- Vistas al perfil urbano
- Acceso compartido a la playa
- Cocina
- Wifi
- Lavadora en el alojamiento (Gratis)
- Sistema de aire acondicionado sin conductos tipo split
- Patio o balcón compartido
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,243,,,,122,,,,69,,,,35,,,,36.5317,-6.2966,https://www.airbnb.es/rooms/13937884?adults=2&check_in=2025-07-25&check_out=2025-07-28&search_mode=regular_search&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=2143233123&source_impression_id=p3_1751885423_P30uBlEUM5jh8fcz&previous_page_section_name=1000
Habitacion Contemporánea,"- Cerradura en la puerta del dormitorio
- Cocina
- Wifi
- Zona para trabajar
- TV
- Lavadora
- Secadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,153,,X,,77,,X,,60,,X,,30,,X,,36.5337,-6.2952,https://www.airbnb.es/rooms/904155048386500419?adults=2&check_in=2025-07-24&check_out=2025-07-26&search_mode=regular_search&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=2184709322&source_impression_id=p3_1751885423_P3jKj3cF5sR70SgV&previous_page_section_name=1000
