Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
6 Apartamento Con Vistas Playa Canina,"- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- Admite mascotas
- TV
- Lavadora
- Aire acondicionado
- Se permite dejar el equipaje
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,159,,,,80,,,,135,,,,68,,,,37.5634,-1.2919,https://www.airbnb.es/rooms/1027545551344307350?adults=2&check_in=2025-07-19&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1752656464_P35k1e1JylNDGjqd&previous_page_section_name=1000
Lydia Cabo Cope,"- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- TV
- Lavadora
- Aire acondicionado
- No disponible: Cerradura en la puerta del dormitorio
Cerradura en la puerta del dormitorio
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,71,,,,36,,,,60,,,X,30,,,,37.4364,-1.5015,https://www.airbnb.es/rooms/1152867951371532021?adults=2&check_in=2025-07-19&check_out=2025-07-20&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2023620587&source_impression_id=p3_1752656464_P37HgAcau76yl9sR&previous_page_section_name=1000
"Cartagenaflats, Apartamento Jabonerías 16","- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- Admite mascotas
- TV
- Ascensor
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,111,,,,56,,,,111,,,,56,,,,37.6034,-0.9891,https://www.airbnb.es/rooms/711321727822389283?adults=2&check_in=2025-07-19&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1752656464_P3PEBkgTlqDOveGz&previous_page_section_name=1000
Apartamentos Nuevo Edificio Alba Cartagena Centro,"- Cocina
- Wifi
- TV
- Lavadora
- Aire acondicionado
- Patio o balcón
- Cuna
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,100,,,,50,,,,100,,,,50,,,,37.60539,-0.99006,https://www.airbnb.es/rooms/1218851760277605442?adults=2&check_in=2025-07-19&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1752656464_P3JFrAyCGoCnRIMB&previous_page_section_name=1000
Apartamento Nuevo En El Puerto De Mazarrón,"- Costa
- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- Admite mascotas
- Televisión con televisión por cable estándar
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,188,,,,94,,,,145,X,,,73,X,,,37.56258,-1.25937,https://www.airbnb.es/rooms/33983306?adults=2&check_in=2025-07-19&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1752656464_P3XvsBQrEYSNRFVk&previous_page_section_name=1000
"Ático Con Spa Jacuzzi, Un Oasis En La Ciudad","- Vistas al perfil urbano
- Cocina
- Wifi
- Zona para trabajar
- Jacuzzi privado: disponible todo el año
- disponible en un horario específico
- Televisión de alta definición de 42 pulgadas con Amazon Prime Video
- Netflix
- Ascensor
- Sistema de aire acondicionado sin conductos tipo split
- Patio privado o balcón
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",13,71,,,,36,,,,60,,,X,30,,,,37.9707,-1.1336,https://www.airbnb.es/rooms/12356485?adults=2&check_in=2025-07-20&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1752656464_P3Z1yqCU4bep3bBF&previous_page_section_name=1000
Plaza Hostel Rooms Habitacion Doble Con Vistas,"- Wifi
- Zona para trabajar
- TV
- Aire acondicionado
- Secador de pelo
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",8,61,,,X,31,,,,55,,,,28,,,,37.7693,-1.5025,https://www.airbnb.es/rooms/1071148457905923783?adults=2&check_in=2025-07-20&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1752656464_P389QgzygNBGTDs1&previous_page_section_name=1000
Minicasa Vintage Romántica A 5 Min Centro En Coche,"- Vistas al patio
- Vistas al jardín
- Cocina
- Wifi rápido (252 Mbps)
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Admite mascotas
- Televisión de alta definición de 38 pulgadas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,121,,,,61,,,,34,,,,17,,,,38.01586,-1.09604,https://www.airbnb.es/rooms/41119174?adults=2&check_in=2025-07-19&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1752656464_P3_WrMz5DEK-GABx&previous_page_section_name=1000
Apartamentos Barlovento,"- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Admite mascotas
- Televisión de alta definición de 32 pulgadas con Netflix
- Amazon Prime Video
- Lavadora
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,123,,,,62,,,,103,,,,52,,,,37.5614,-1.2592,https://www.airbnb.es/rooms/1013166813984084575?adults=2&check_in=2025-07-20&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1752656464_P3W3lUHnaEYt2-sB&previous_page_section_name=1000
Suite Histórica 11,"- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- Televisión de alta definición
- Lavadora en el edificio (Gratis)
- Sistema de aire acondicionado sin conductos tipo split
- Patio privado o balcón
- Secador de pelo
- Microondas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,230,X,,,115,X,,,115,,,,58,,,,37.6038,-0.9843,https://www.airbnb.es/rooms/1279571090270541757?adults=2&check_in=2025-07-18&check_out=2025-07-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1752656464_P3bczGXYj5BkUhP2&previous_page_section_name=1000
Apartamento Con Vistas Al Mar,"- Cocina
- Wifi
- TV
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",8,106,,,,53,,,,90,,,,45,,,,37.5602,-1.2591,https://www.airbnb.es/rooms/1312913297944563632?adults=2&check_in=2025-07-20&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1752656464_P3UV-ZMxynm43nXq&previous_page_section_name=1000
Estudio Insulae Ctspain,"- Costa
- Cocina
- Wifi
- Zona para trabajar
- TV
- Lavadora
- Aire acondicionado
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,114,,,,57,,,X,114,,,,57,,,X,37.6001,-0.9859,https://www.airbnb.es/rooms/1289694423288232882?adults=2&check_in=2025-07-19&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1752656464_P3dPVnx_RM0Jl7n3&previous_page_section_name=1000
Apartamento En Cartagena,"- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- TV
- Ascensor
- Lavadora
- Aire acondicionado
- Se permite dejar el equipaje
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,70,,,,35,,,,70,,,,35,,,,37.62573,-0.95114,https://www.airbnb.es/rooms/1091193147187542533?adults=2&check_in=2025-07-19&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1752656464_P3wKB-8ekTvOKRlx&previous_page_section_name=1000
Los 6 By Grupo Commo- Coral Breeze,"- Cocina
- Wifi
- TV
- Lavadora
- Aire acondicionado
- Cuna
- Secador de pelo
- Aparcamiento de pago en las instalaciones
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,110,,,,55,,,,110,,,,55,,,,37.99496,-1.14018,https://www.airbnb.es/rooms/1232414389816807320?adults=2&check_in=2025-07-19&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1752656464_P3LVpTmeMNMRl0B9&previous_page_section_name=1000
"Apto En Cartagena, Económico.","- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- TV
- Ascensor
- Lavadora
- Aire acondicionado
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,70,,,,35,,,,70,,,,35,,,,37.62466,-0.95353,https://www.airbnb.es/rooms/1242621291447751046?adults=2&check_in=2025-07-19&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1752656464_P3bI3d8o-cyzhHO2&previous_page_section_name=1000
