Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
"Habitación En Un T3 En Gentilly Rer B , 5 Min París","- Cerradura en la puerta del dormitorio
- Cocina
- Wifi
- TV
- Ascensor
- Bañera
- Frigorífico de Samsung
- Microondas
- Apto para fumadores
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,160,,,,160,,,,40,,,X,40,,,X,48.80529,2.34355,https://www.airbnb.es/rooms/981591050623812479?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1756412436&source_impression_id=p3_1751739948_P3JMdAc-OWtA2YEr&previous_page_section_name=1000
(3) ¡Hermoso T1 Cerca Del Metro!,"- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- TV
- Secador de pelo
- Frigorífico
- Microondas
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de humo
Detector de humo",11,190,,,,190,,,,40,,,X,40,,,X,48.89628,2.42522,https://www.airbnb.es/rooms/1227708380301563881?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&source_impression_id=p3_1751739948_P3FGsSoCwvUxk2dz&previous_page_section_name=1000
Pequeño Nido En El Corazón De París: Metro Y Sacré-Cœur,"- Cocina
- Wifi
- TV
- Lavadora
- Patio trasero compartido
- Microondas
- Disponible para estancias largas
- Aparcamiento de pago en las instalaciones",8,316,,,,316,,,,80,X,,,80,X,,,48.8932,2.3524,https://www.airbnb.es/rooms/1395636062648599937?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&source_impression_id=p3_1751739948_P3zFPpnXaIBNOzft&previous_page_section_name=1000
Habitación Tranquila En Patio Arbolado.,"- Cerradura en la puerta del dormitorio
- Cocina
- Wifi
- Zona para trabajar
- Aire acondicionado
- Microondas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",10,116,,,,116,,,,29,,,,29,,,,48.91556,2.39888,https://www.airbnb.es/rooms/1192650079017021578?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1944446943&source_impression_id=p3_1751739948_P3SLz_EvBxO5tbAB&previous_page_section_name=1000
Acogedor Estudio Grande En El Mercadillo De Saint-Ouen,"- Vistas al perfil urbano
- Cocina
- Wifi
- Zona para trabajar
- Televisión de alta definición con Chromecast
- Ascensor
- Lavadora en el alojamiento (Gratis)
- Secadora en el alojamiento (Gratis)
- Patio privado o balcón
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,357,X,,,357,X,,,70,,,,70,,,,48.9048806,2.3408259,https://www.airbnb.es/rooms/3435416?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&source_impression_id=p3_1751739948_P3BUixDDAyRLPPS9&previous_page_section_name=1000
"Terraza Habitación Grande, Metro 8 Sábanas No Incluidas","- Cerradura en la puerta del dormitorio
- Cocina
- Wifi
- Zona para trabajar
- Televisión de alta definición de 55 pulgadas
- Ascensor
- Microondas
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",10,121,,,,121,,,,30,,,,30,,,,48.78739,2.44477,https://www.airbnb.es/rooms/1107374892323538781?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2140978995&source_impression_id=p3_1751739948_P3A9Z95o1FFpAmJv&previous_page_section_name=1000
Alojamiento Cerca De París Sur,"- Cerradura en la puerta del dormitorio
- Vistas al patio
- Wifi
- Zona para trabajar
- Bañera
- Se permite dejar el equipaje
- Secador de pelo
- Frigorífico
- Microondas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,149,,,,149,,,,40,,,X,40,,,X,48.81095,2.36297,https://www.airbnb.es/rooms/25971312?adults=1&check_in=2025-07-07&check_out=2025-07-10&search_mode=regular_search&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=1646283281&source_impression_id=p3_1751739949_P3UaynJXFTLHY38D&previous_page_section_name=1000
Una Habitación A 30 Minutos De París Con El Rer C. Tranvía 9,"- Cerradura en la puerta del dormitorio
- Vistas al patio
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Ascensor
- Lavadora
- Bañera
- Patio privado o balcón",10,81,,X,X,81,,X,X,30,,,,30,,,,48.77857,2.39533,https://www.airbnb.es/rooms/16219327?adults=1&check_in=2025-07-07&check_out=2025-07-09&search_mode=regular_search&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=969187555&source_impression_id=p3_1751739949_P3aYbJE9vAcpDk-O&previous_page_section_name=1000
Habitación Camélia - A 15 Minutos De París,"- Cerradura en la puerta del dormitorio
- Cocina
- Wifi
- Zona para trabajar
- Ascensor
- Lavadora
- Patio o balcón
- Secador de pelo
- Frigorífico
- Cámaras de seguridad en los exteriores de la propiedad",10,91,,,,91,,,,30,,,,30,,,,48.7799,2.3144,https://www.airbnb.es/rooms/1422392179128765691?adults=1&check_in=2025-07-08&check_out=2025-07-10&search_mode=regular_search&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=2176031394&source_impression_id=p3_1751739949_P3mMCWe9YlyNFJ1m&previous_page_section_name=1000
Amplia Habitación Doble Compartida Para Mujeres 2-1,"- Cocina
- Wifi
- Zona para trabajar
- Jacuzzi
- Bañera
- Patio trasero compartido: Con valla en parte del perímetro
- Se permite dejar el equipaje
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,82,,,,82,,,,27,,,,27,,,,48.81587,2.37578,https://www.airbnb.es/rooms/709889932087507211?adults=1&check_in=2025-07-07&check_out=2025-07-09&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1751739949_P3ahZ1MFO0oqkeS2&previous_page_section_name=1000
Pequeño Nido Entre Disney Y París,"- Vistas al patio
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Televisión de alta definición de 32 pulgadas con Chromecast
- televisión por cable estándar
- Lavadora en el alojamiento (Gratis)
- Se permite dejar el equipaje
- Secador de pelo
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",12,118,,,,118,,,,56,,,,56,,,,48.84002,2.49884,https://www.airbnb.es/rooms/50876296?adults=1&check_in=2025-07-07&check_out=2025-07-09&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1751739949_P3jZevQplEGwFoYC&previous_page_section_name=1000
Habitación Privada Cerca De París A 1 Minuto Del Metro 9,"- Cerradura en la puerta del dormitorio
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- TV
- Ascensor
- Lavadora
- Patio privado o balcón
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,119,,,,119,,,,40,,,X,40,,,X,48.85769,2.43491,https://www.airbnb.es/rooms/1405248749575441961?adults=1&check_in=2025-07-07&check_out=2025-07-09&search_mode=regular_search&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=2153818350&source_impression_id=p3_1751739949_P3J8tYtDYyF_Y1EA&previous_page_section_name=1000
Souplex - A 20 Minutos En Metro De La Ópera Garnier,"- Cocina
- Wifi (20 Mbps)
- Zona para trabajar
- Admite mascotas
- TV
- Lavadora
- Secador de pelo
- Microondas
- Aparcamiento de pago en las instalaciones",9,278,,,,278,,,,67,,,,67,,,,48.86364,2.38222,https://www.airbnb.es/rooms/1412088746551753155?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&source_impression_id=p3_1751739948_P3xt_rIGzdhfQBI3&previous_page_section_name=1000
Amplia Y Luminosa Habitación Compartida Masculina 3-2,"- Cocina
- Wifi
- Zona para trabajar
- Jacuzzi
- Bañera
- Patio trasero compartido: Con valla en parte del perímetro
- Se permite dejar el equipaje
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,107,,,,107,,,,25,,,,25,,,,48.8174282,2.3744662,https://www.airbnb.es/rooms/712940725011003889?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&source_impression_id=p3_1751739948_P34aj-LLsTbVsxfB&previous_page_section_name=1000
Dúplex Con Ducha Y Aseo Privados,"- Cerradura en la puerta del dormitorio
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- TV
- Lavadora
- Secadora
- Patio o balcón
- Patio trasero",10,171,,,,171,,,,39,,,,39,,,,48.78908,2.37829,https://www.airbnb.es/rooms/854044466759987415?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2111136057&source_impression_id=p3_1751739948_P3c7lvdci1hQDohk&previous_page_section_name=1000
Acogedor Apartamento Cerca De París,"- Cocina
- Wifi
- Zona para trabajar
- TV
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",7,283,,,,283,,,,65,,,,65,,,,48.9028,2.3019,https://www.airbnb.es/rooms/1163691327477327962?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&source_impression_id=p3_1751739948_P3W6Vsm_-GMnfx3B&previous_page_section_name=1000
"Habitación Cerca De París M, A 6 Minutos Del Metro.","- Wifi
- Patio trasero privado: Con valla en todo el perímetro
- Se permite dejar el equipaje
- Secador de pelo
- Desayuno
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",7,203,,,,203,,,,51,,,,51,,,,48.7944,2.3635,https://www.airbnb.es/rooms/18217832?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&source_impression_id=p3_1751739948_P3r-SlBVevX4VgyD&previous_page_section_name=1000
Casa De Huéspedes Cerise / París Orly,"- Cerradura en la puerta del dormitorio
- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- TV
- Lavadora
- Patio o balcón
- Se permite dejar el equipaje
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,170,,,,170,,,,54,,,,54,,,,48.76884,2.40397,https://www.airbnb.es/rooms/1033366945754108798?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1793240387&source_impression_id=p3_1751739948_P38F3hYqTY5DW1UI&previous_page_section_name=1000
"Estudio Acogedor Y Elegante Cerca De París, 31 M","- Cocina
- Wifi
- Zona para trabajar
- TV
- Lavadora
- Frigorífico
- Microondas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",11,235,,,,235,,,,59,,,,59,,,,48.8681,2.4444,https://www.airbnb.es/rooms/1135291814604236476?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&source_impression_id=p3_1751739948_P33He3FYdJLfY6kN&previous_page_section_name=1000
"Excelente Estudio, Tranquilo, Luminoso.","- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en garaje en la propiedad
- TV
- Lavadora en el alojamiento (Gratis)
- Se permite dejar el equipaje
- Secador de pelo
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,328,,,,328,,,,75,,,,75,,,,48.8164,2.3534,https://www.airbnb.es/rooms/981269455950291140?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&source_impression_id=p3_1751739948_P3ZwibkY_uJbM1zP&previous_page_section_name=1000
Habitación Individual En Una Zona Muy Tranquila,"- Cerradura en la puerta del dormitorio
- Wifi
- Aparcamiento gratuito en la calle
- TV
- Microondas
- Cámaras de seguridad en los exteriores de la propiedad",6,112,,,,112,,,,27,,,,27,,,,48.80051,2.53492,https://www.airbnb.es/rooms/36802327?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=877280701&source_impression_id=p3_1751739948_P3rCtPB82hVs113V&previous_page_section_name=1000
Acogedora Habitación A 15 Minutos De París,"- Cerradura en la puerta del dormitorio
- Vistas al jardín
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- Patio trasero compartido: Con valla en todo el perímetro
- Secador de pelo
- Piano
- Disponible para estancias largas",9,143,,,,143,,,,35,,,,35,,,,48.91728,2.4109,https://www.airbnb.es/rooms/27501385?adults=1&check_in=2025-07-06&check_out=2025-07-09&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=553470549&source_impression_id=p3_1751739948_P3QXx3BLX6fkK7Du&previous_page_section_name=1000
