Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
6 Apartamento Con Vistas Playa Canina,"- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- Admite mascotas
- TV
- Lavadora
- Aire acondicionado
- Se permite dejar el equipaje
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,159,,,,80,,,,135,,,,68,,,,37.5634,-1.2919,https://www.airbnb.es/rooms/1027545551344307350?adults=2&check_in=2025-07-19&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1752657199_P3BzD3puChPYYeEm&previous_page_section_name=1000
Apartamento Nuevo En El Puerto De Mazarrón,"- Costa
- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- Admite mascotas
- Televisión con televisión por cable estándar
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,188,,,,94,,,,145,X,,,73,X,,,37.56258,-1.25937,https://www.airbnb.es/rooms/33983306?adults=2&check_in=2025-07-19&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1752657199_P3qDFjYKq17xTHbm&previous_page_section_name=1000
Apartamentos Nuevo Edificio Alba Cartagena Centro,"- Cocina
- Wifi
- TV
- Lavadora
- Aire acondicionado
- Patio o balcón
- Cuna
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,100,,,,50,,,,100,,,,50,,,,37.60539,-0.99006,https://www.airbnb.es/rooms/1218851760277605442?adults=2&check_in=2025-07-19&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1752657199_P3VsHExvSJjkdA9Q&previous_page_section_name=1000
"Cartagenaflats, Apartamento Jabonerías 16","- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- Admite mascotas
- TV
- Ascensor
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,111,,,,56,,,,111,,,,56,,,,37.6034,-0.9891,https://www.airbnb.es/rooms/711321727822389283?adults=2&check_in=2025-07-19&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1752657199_P3CEBuzX54EfZ_eT&previous_page_section_name=1000
"Apto En Cartagena, Económico.","- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- TV
- Ascensor
- Lavadora
- Aire acondicionado
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,70,,,,35,,,,70,,,,35,,,,37.62466,-0.95353,https://www.airbnb.es/rooms/1242621291447751046?adults=2&check_in=2025-07-19&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1752657199_P31_WGFqNaTSVYhe&previous_page_section_name=1000
Habitación Privada En Cartagena,"- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- TV
- Ascensor
- Aire acondicionado
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Cerradura en la puerta del dormitorio
Cerradura en la puerta del dormitorio
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,64,,,,32,,,,50,,,,25,,,,37.6142,-0.9907,https://www.airbnb.es/rooms/609730238306692679?adults=2&check_in=2025-07-19&check_out=2025-07-20&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1635878545&source_impression_id=p3_1752657199_P3c4fSUQnQds-e6G&previous_page_section_name=1000
Apartamento Con Vistas Al Mar,"- Cocina
- Wifi
- TV
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",8,106,,,,53,,,,90,,,,45,,,,37.5602,-1.2591,https://www.airbnb.es/rooms/1312913297944563632?adults=2&check_in=2025-07-20&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1752657199_P3jN21BOidsoDk9p&previous_page_section_name=1000
Apartamentos Barlovento,"- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Admite mascotas
- Televisión de alta definición de 32 pulgadas con Netflix
- Amazon Prime Video
- Lavadora
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,123,,,,62,,,,103,,,,52,,,,37.5614,-1.2592,https://www.airbnb.es/rooms/1013166813984084575?adults=2&check_in=2025-07-20&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1752657199_P3v_KmTty5VEHM6F&previous_page_section_name=1000
"Preciosas Vistas Mar, Apto 2 Hab Piscina, Bolnuevo","- Vistas al perfil urbano
- Vistas al mar
- Acceso compartido a la playa
- Cocina
- Wifi
- Aparcamiento gratuito en garaje en la propiedad: 1 plaza
- Piscina descubierta compartida: en la azotea
- Admite mascotas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,317,X,,,159,X,,,110,,,,55,,,,37.56901,-1.30506,https://www.airbnb.es/rooms/51744158?adults=2&check_in=2025-07-19&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1752657199_P37WHhlvTBi4glKn&previous_page_section_name=1000
Apartamentos Barlovento,"- Costa
- Cocina
- Wifi
- Zona para trabajar
- Admite mascotas
- Televisión de alta definición de 32 pulgadas con Netflix
- Lavadora en el alojamiento (Gratis)
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,116,,,,58,,,,96,,,,48,,,,37.56066,-1.25815,https://www.airbnb.es/rooms/1036722720644146441?adults=2&check_in=2025-07-20&check_out=2025-07-21&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1752657199_P3R5n3TVtpZbswY0&previous_page_section_name=1000
