Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
Apartamento Con Vistas A La Playa En Santa Pola,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Admite mascotas
- TV
- Lavadora
- Aire acondicionado
- Apto para fumadores
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,458,,,,77,,,X,126,,,,21,,,,38.1914,-0.5802,https://www.airbnb.es/rooms/1130980800142146334?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745513347_P3dC4_NJFZ4uy6mw&previous_page_section_name=1000
Santa Pola A 25 Metros De La Playa,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- Admite mascotas
- TV
- Ascensor
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,457,,,,77,,,X,120,,,X,20,,,,38.19251,-0.56472,https://www.airbnb.es/rooms/20399406?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745513347_P3VbD3RD9HcfIG24&previous_page_section_name=1000
Apartamento Con Piscina 3 Dorm.,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- Piscina
- Admite mascotas
- TV
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",12,539,,,,90,,,,143,,,,24,,,X,38.1907127,-0.5508176,https://www.airbnb.es/rooms/1402089130096404085?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745513347_P3iBvEm32UbVnslG&previous_page_section_name=1000
Apartamento A Pie De Playa Cerca Del Aeropuerto,"- Acceso compartido a la playa (primera línea)
- Cocina
- Wifi
- Admite mascotas
- TV
- Lavadora
- Sistema de aire acondicionado sin conductos tipo split
- Secador de pelo
- Frigorífico
- No disponible: Detector de humo
Detector de humo",11,604,,,,101,,,,173,,,,29,,,,38.192,-0.57798,https://www.airbnb.es/rooms/1143213115381101190?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745513347_P3TvV3uItJaww13f&previous_page_section_name=1000
Apartamento Junto Al Mar,"- Acceso a la playa
- primera línea
- Cocina
- Aparcamiento gratuito en las instalaciones
- TV
- Lavadora
- Aire acondicionado
- Frigorífico
- Microondas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,433,,,,73,,,,110,,,,19,,,,38.1902133,-0.5486359,https://www.airbnb.es/rooms/1378903539265471191?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745513347_P3d1jOwtu18bAwlX&previous_page_section_name=1000
"Bungalow Con Terraza De 300 M ,Barbacoa Y Piscina","- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- Piscina
- TV
- Lavadora
- Aire acondicionado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,878,,,,147,,,,250,,,,42,,,,38.19283,-0.54528,https://www.airbnb.es/rooms/1153709398412706581?adults=6&check_in=2025-07-17&check_out=2025-07-20&search_mode=regular_search&source_impression_id=p3_1745513347_P35_JRS_4SYG19ZD&previous_page_section_name=1000
Rentafive - Frente A Centro Comercial - Reformado,"- Cocina
- Wifi
- TV
- Lavadora
- Aire acondicionado
- Patio o balcón
- Cuna
- Parque/cunas de viaje
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,725,,,,121,,,,100,,X,,17,,X,,38.19169,-0.54641,https://www.airbnb.es/rooms/1137521344702115758?adults=6&check_in=2025-07-15&check_out=2025-07-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745513347_P3nkqIRUozZ_TG30&previous_page_section_name=1000
Apartamento A 150 M De La Playa. 1.ª Planta.,"- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- TV
- Lavadora
- Aire acondicionado
- Patio privado o balcón
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,749,,,,125,,,,120,,,X,20,,,,38.1912,-0.5505,https://www.airbnb.es/rooms/1163020574027692628?adults=6&check_in=2025-07-17&check_out=2025-07-22&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745513347_P3FucroHkUeOxk0J&previous_page_section_name=1000
Rentafive - Nuevo - Reformado - A/A - Ascensor,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- TV
- Ascensor
- Lavadora
- Aire acondicionado
- Bañera
- Cuna
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",12,835,,,,140,,,,143,,,,24,,,X,38.19545,-0.56703,https://www.airbnb.es/rooms/1133088938939864749?adults=6&check_in=2025-07-17&check_out=2025-07-22&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745513347_P3Uu8WU4wSo-V54Z&previous_page_section_name=1000
Apartamento Vacacional En El Centro De Santa Pola,"- Acceso compartido a la playa (primera línea)
- Cocina
- Wifi
- Zona para trabajar
- TV
- Ascensor
- Lavadora en el alojamiento (Gratis)
- Secadora
- Aire acondicionado de ventana
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,492,,,,82,,,,140,,,,24,,,X,38.1907,-0.555,https://www.airbnb.es/rooms/49653259?adults=6&check_in=2025-07-15&check_out=2025-07-18&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745513347_P3jjdWK3YkijTOUj&previous_page_section_name=1000
