Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
Ático De Nani,"- Costa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- TV
- Ascensor
- Bañera
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,344,,,,86,,,,98,,,,25,,,X,43.46684,-3.79589,https://www.airbnb.es/rooms/28953151?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P32r-wRDZzEngf1n&previous_page_section_name=1000
"Céntrico, Tranquilo Y A Un Paso De Todo","- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Zona para trabajar
- Lavadora Gratis
- Secador de pelo
- Frigorífico
- Microondas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",13,468,,,,117,,,,120,,,,30,,,,43.4655,-3.80239,https://www.airbnb.es/rooms/570873618092150098?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P3uIfdSSVeybe_gm&previous_page_section_name=1000
"Pleno Centro, Amplio Y Reformado","- Cocina
- Wifi
- Zona para trabajar
- TV
- Ascensor
- Lavadora
- Patio privado o balcón
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,470,,,,118,,,,119,,,,30,,,,43.4612,-3.8104,https://www.airbnb.es/rooms/1190003607245446739?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P3LbiLKEORxJVm6Z&previous_page_section_name=1000
"Centro, Luz Y Amplitud. Despacho","- Cocina
- Wifi
- Zona para trabajar
- TV
- Ascensor
- Lavadora
- Patio privado o balcón
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,516,,,,129,,,,133,,,,34,,,,43.46128,-3.80899,https://www.airbnb.es/rooms/918569575329621835?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P3Y1V54j69YoBkMD&previous_page_section_name=1000
Mar Y Montaña | Parking | Céntrico | Wifi,"- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- TV
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",9,531,,,,133,,,,177,X,,,45,X,,,43.4562736,-3.8242254,https://www.airbnb.es/rooms/1261602739732296010?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P3IGvbIyY6A1N9A_&previous_page_section_name=1000
"Precioso Apartamento En Santander,3 Dormitorios.","- Cocina
- Wifi
- Zona para trabajar
- TV
- Ascensor
- Lavadora
- Frigorífico
- Microondas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,423,,,,106,,,,107,,,,27,,,,43.46117,-3.82286,https://www.airbnb.es/rooms/673278128794528399?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P3q2WzhIgHMhQykl&previous_page_section_name=1000
Precioso Apartamento Que Se Asoma A La Bahía,"- Vistas a la bahía
- Acceso a la playa
- primera línea
- Cocina
- Wifi rápido (267 Mbps)
- Zona para trabajar
- Aparcamiento gratuito en las instalaciones
- TV
- Lavadora
- Parque/cunas de viaje: disponible previa solicitud
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",12,505,,,,127,,,,127,,,,32,,,,43.46585,-3.78943,https://www.airbnb.es/rooms/912744665010916150?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P3Po4X_z5K-G_JJj&previous_page_section_name=1000
Piso Junto A La Estacion De Tren Y Autobuses,"- Costa
- Cocina
- Zona para trabajar
- Aparcamiento gratuito en la calle
- Admite mascotas
- Televisión de alta definición de 40 pulgadas
- Ascensor
- Lavadora en el alojamiento (Gratis)
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,350,,,,88,,,,85,,X,,22,,X,,43.45478,-3.81764,https://www.airbnb.es/rooms/52480391?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P35p4T47o0142fo-&previous_page_section_name=1000
¡Titi!,"- Vistas al perfil urbano
- Cocina
- Wifi
- Admite mascotas
- TV
- Lavadora
- Secador de pelo
- Frigorífico de Ok
- Microondas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,457,,,,115,,,,125,,,,32,,,,43.4617,-3.8159,https://www.airbnb.es/rooms/970758068602376946?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P3vWWPqAUD6mCxt1&previous_page_section_name=1000
Alojamiento Santander,"- Acceso a la playa
- primera línea
- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- TV
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",11,334,,X,,84,,X,,95,,,,24,,,,43.4693,-3.7993,https://www.airbnb.es/rooms/1192829204770638794?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P3TDmmK-sAXhZRYS&previous_page_section_name=1000
