Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
Apartamento Tranquilo Santa Cruz Ideal Familias,"- Vistas al patio
- Cocina
- Wifi
- Zona para trabajar
- Televisión de alta definición de 50 pulgadas
- Lavadora en el alojamiento (Gratis)
- Sistema de aire acondicionado sin conductos tipo split
- Bañera
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,326,,,,109,,,,326,,,,109,,,,37.3873307,-5.9905753,https://www.airbnb.es/rooms/813568485785999701?adults=3&check_in=2025-04-26&check_out=2025-04-27&search_mode=regular_search&source_impression_id=p3_1745531146_P3zSZaEkNeB57fUy&previous_page_section_name=1000
Apartamento En El Centro Histórico De Sevilla,"- Vistas al perfil urbano
- Cocina
- Wifi
- Admite mascotas
- Televisión de 42 pulgadas
- Ascensor
- Lavadora en el alojamiento (Gratis)
- Aire acondicionado centralizado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,347,,,,116,,,,261,,,,87,,,X,37.39471,-5.99344,https://www.airbnb.es/rooms/28519466?adults=3&check_in=2025-04-26&check_out=2025-04-27&search_mode=regular_search&source_impression_id=p3_1745531146_P3BdquCnNktjPsgL&previous_page_section_name=1000
G5 Apartamento Sevilla Centro,"- Cocina
- Wifi
- Zona para trabajar
- TV
- Lavadora
- Aire acondicionado
- Parque/cunas de viaje: disponible previa solicitud
- Secador de pelo
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,315,,,,105,,,,273,,,,91,,,,37.3917,-5.9923,https://www.airbnb.es/rooms/1293403853965614952?adults=3&check_in=2025-04-26&check_out=2025-04-27&search_mode=regular_search&source_impression_id=p3_1745531146_P35qH-33BA_tbAJ5&previous_page_section_name=1000
Apartamento En Centro Histórico B,"- Cocina
- Wifi
- TV
- Ascensor
- Lavadora
- Aire acondicionado
- Patio o balcón
- Patio trasero
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,299,,,,100,,,,255,,,,85,,,,37.3949,-6.0001,https://www.airbnb.es/rooms/6308246?adults=3&check_in=2025-04-26&check_out=2025-04-27&search_mode=regular_search&source_impression_id=p3_1745531146_P3Ekc_-CQ5i7JWyz&previous_page_section_name=1000
Almaroma Central,"- Cocina
- Wifi
- Zona para trabajar
- Televisión de alta definición de 50 pulgadas
- Lavadora
- Aire acondicionado
- Patio privado o balcón
- Secador de pelo
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",11,374,,,,125,,,,304,,,,102,,,,37.395851,-5.9910327,https://www.airbnb.es/rooms/1283905910832056497?adults=3&check_in=2025-04-26&check_out=2025-04-27&search_mode=regular_search&source_impression_id=p3_1745531146_P3TWXYW59zSgz09x&previous_page_section_name=1000
"Andalusí 3,Cancelación Gratis, 8 Km A Sevilla, Bus","- Wifi
- Aparcamiento gratuito en la calle
- Lavadora en el alojamiento (De pago)
- Aire acondicionado
- Secador de pelo
- Disponible para estancias largas
- No disponible: Cerradura en la puerta del dormitorio
Cerradura en la puerta del dormitorio
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",10,41,,X,X,14,,X,X,34,,X,X,12,,X,,37.4168,-6.1107,https://www.airbnb.es/rooms/29424230?adults=3&check_in=2025-04-27&check_out=2025-04-28&search_mode=regular_search&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=614447323&source_impression_id=p3_1745531147_P3RIx0D_dko6Ptjr&previous_page_section_name=1000
"Room Tipo Suite Baño Privado, Para 2 O 3 Personas","- Cerradura en la puerta del dormitorio
- Wifi
- Aparcamiento gratuito en la calle
- Piscina compartida: disponible según la temporada
- Televisión de alta definición con Netflix
- Sistema de aire acondicionado sin conductos tipo split
- Patio privado o balcón
- Patio trasero privado
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,66,,,,22,,,,56,,,,19,,,,37.35372,-6.04666,https://www.airbnb.es/rooms/14893842?adults=3&check_in=2025-04-27&check_out=2025-04-28&search_mode=regular_search&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=481456342&source_impression_id=p3_1745531147_P39P0IsVKx55EoBh&previous_page_section_name=1000
"Andalusí 4,Cancelación Gratis,8 Km A Sevilla, Bus","- Wifi
- Aparcamiento gratuito en la calle
- Lavadora en el alojamiento (De pago)
- Aire acondicionado
- Secador de pelo
- Disponible para estancias largas
- No disponible: Cerradura en la puerta del dormitorio
Cerradura en la puerta del dormitorio
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",10,52,,,,18,,,,42,,,,14,,,,37.4168,-6.1107,https://www.airbnb.es/rooms/25536562?adults=3&check_in=2025-04-27&check_out=2025-04-28&search_mode=regular_search&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=614448101&source_impression_id=p3_1745531147_P3U-dk6SlmrsDUZw&previous_page_section_name=1000
Piso Muy Acogedor,"- Cocina
- Wifi
- Zona para trabajar
- TV
- Lavadora
- Sistema de aire acondicionado sin conductos tipo split
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",11,111,,,,37,,,,95,,,,32,,,,37.3918,-5.9698,https://www.airbnb.es/rooms/631962657030842769?adults=3&check_in=2025-04-27&check_out=2025-04-28&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1745531147_P3EJ6Xin8OqRZcdh&previous_page_section_name=1000
"Andalusí 5,Cancelación Gratis, 8 Km A Sevilla, Bus","- Wifi
- Aparcamiento gratuito en la calle
- Lavadora en el alojamiento (De pago)
- Aire acondicionado
- Secador de pelo
- Disponible para estancias largas
- No disponible: Cerradura en la puerta del dormitorio
Cerradura en la puerta del dormitorio
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",10,60,,,,20,,,,49,,,,17,,,,37.4168,-6.1107,https://www.airbnb.es/rooms/30027182?adults=3&check_in=2025-04-27&check_out=2025-04-28&search_mode=regular_search&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=1698251532&source_impression_id=p3_1745531147_P3yc_SIl3Jd9aE51&previous_page_section_name=1000
